domaine,subDomine,label,altLabels
Culture,Religion,Animism,
Information and communication,Information technology (software),Office management,
"Politics, law and economics",Manufacturing and transport engineering,Pharmaceutical technology,
Culture,Culture,Civilization crises,
"Politics, law and economics",Politics and government,Monarchy,
Countries and country groupings,Political groupings,CIS countries,Commonwealth of Independent States
Social and human sciences,Social policy and welfare,Child welfare,"Child protection, Child welfare services"
"Politics, law and economics",Equipment and facilities,Submarines,
Social and human sciences,Social systems,Social influence,
Education,Educational facilities,Educational radio,
Science,Scientific approach,Metric system,
Science,Geography and oceanography,Deltas,
Countries and country groupings,Asia and the Pacific,Turkey,
"Politics, law and economics",Equipment and facilities,Research ships,Research vessels
Culture,Performing arts,Travelling theatre,
Culture,Philosophy and ethics,Belief,
Information and communication,Communication research and policy,Public opinion,
Information and communication,Information management,Library extension,Library cultural activities
Science,Medical sciences,Endocrinology,
Information and communication,Information sources,Abstracts,Abstract journals
"Politics, law and economics",Economic and social development,Self reliance,Alternative development
"Politics, law and economics",Finance and trade,Banks,Banking
Education,Educational administration,University cooperation,Interuniversity cooperation
Culture,Culture,Universal culture,
Culture,Linguistics,Colloquial language,"Jargon, Slang"
Culture,Cultural policy and planning,Excision,"Female circumcision, Genital mutilation, Infibulation"
"Politics, law and economics",Economics,Production factors,
Countries and country groupings,Africa,Saint Helena,
"Politics, law and economics",Politics and government,Heads of state,Presidency
Science,Medical sciences,Organ transplantation,
Culture,Visual arts,Stained glass,
Science,Mathematics and statistics,Correlation,
Information and communication,Information sciences,Information/library standards,Library standards
"Politics, law and economics",Finance and trade,Cost accounting,"Cost analysis, Costing"
"Politics, law and economics",Labour,Employment opportunities,
Culture,Cultural policy and planning,Cultural exchange,
Science,Physical sciences,Electromagnetic waves,
Culture,Museums,Museum statistics,
Culture,Linguistics,Speech habits,
Information and communication,Communication research and policy,Listening,Active listening
"Politics, law and economics",Labour,Labour supply,
Education,Educational institutions,Technological institutes,"Polytechnics, Technical colleges, Technical schools"
Culture,Languages,Chinese,
Culture,Museums,Natural history museums,
Information and communication,Communication research and policy,Communication psychology,
Education,Teaching and training,Practical work (learning method),Laboratory work
Information and communication,Communication research and policy,Codes,
Information and communication,Communication research and policy,Communication process,"Channels of communication, Communication (thought transfer)"
"Politics, law and economics",Services,Tourist industry,
"Politics, law and economics",Human rights,Freedom of expression,"Right of reply, Right to communicate"
"Politics, law and economics",Economic and social development,Women and development,
"Politics, law and economics",Economics,Dual economy,
Science,Scientific approach,Interdisciplinary approach,
Social and human sciences,Human settlements and land use,Rural population,
Countries and country groupings,Africa,Reunion,
Culture,Philosophy and ethics,Existentialism,
Science,Earth sciences,Geochemistry,
Science,Physical sciences,Nuclear physics,Atomic physics
Social and human sciences,Family,Mixed marriages,
"Politics, law and economics",Agriculture,Forestry,
Countries and country groupings,Asia and the Pacific,Uzbekistan,
"Politics, law and economics",Agriculture,Deforestation,
Culture,Visual arts,Tapestry,
Information and communication,Information sciences,Automatic indexing,"Computer assisted indexing, Machine indexing"
Social and human sciences,Social policy and welfare,Adoption,
Education,Educational administration,Teacher mobility,
Culture,Art,Sociology of art,
Information and communication,Documentary information processing,Book selection,"Book ordering, Document selection, Journal screening"
Culture,Visual arts,Plastic arts,
Social and human sciences,Family,Family disorganization,"Divorce, Family disintegration"
"Politics, law and economics",Manufacturing and transport engineering,Marine engineering,"Naval engineering, Ocean engineering"
"Politics, law and economics",Finance and trade,Subventions,
Education,Curriculum,University curriculum,
"Politics, law and economics",Personnel management,Labour standards,
Science,Science and research management,Scientific cooperation,"Research cooperation, Technological cooperation"
Social and human sciences,Family,Married women,Wives
Social and human sciences,Psychology,Developmental psychology,"Genetic psychology, Individual development"
